    Residual          Y-hat        Observation
    -1.47890         21.0792         19.6003    
    -2.69779         19.9985         17.3007    
    -1.63452         20.6606         19.0261    
    -1.67476         21.1166         19.4418    
    -1.15714         20.9533         19.7962    
    -1.30160         21.5313         20.2297    
    -2.15666         20.5392         18.3825    
    -1.75310         21.0309         19.2778    
   -0.828282         21.7909         20.9626    
    -1.38974         21.4280         20.0383    
    -2.15898         20.5874         18.4284    
    -1.86545         20.9082         19.0427    
    -1.27815         21.5500         20.2718    
   -0.812040         22.0594         21.2473    
    -1.34378         20.6054         19.2617    
    -2.27585         20.4597         18.1838    
    -1.51390         21.2924         19.7784    
    -1.33625         21.4865         20.1503    
    -1.47709         21.3326         19.8555    
    -1.59413         21.2047         19.6105    
    -1.66945         21.0025         19.3331    
    -2.05020         20.7063         18.6560    
    -1.53410         21.2703         19.7362    
    -1.87144         20.9016         19.0302    
   -0.962764         21.7786         20.8158    
   -0.258016         22.6371         22.3791    
    -1.50354         21.3037         19.8001    
    -2.75481         19.9362         17.1814    
   -0.558999         22.2521         21.6931    
    -1.32968         21.3888         20.0592    
    -2.30359         20.6531         18.3496    
   -0.539883         22.1241         21.5842    
    -2.09775         21.0277         18.9300    
    -2.80492         19.8076         17.0026    
    -1.37694         21.4420         20.0651    
    -2.36079         20.3862         18.0254    
    -1.26571         21.4683         20.2026    
   -0.550874         22.3448         21.7939    
    -2.31820         20.4134         18.0952    
    -1.17177         21.2789         20.1072    
    -1.36855         19.4506         18.0821    
    -2.20219         20.5402         18.3380    
    -1.04128         22.1332         21.0920    
    -1.47258         20.4140         18.9414    
    -1.80928         20.9696         19.1603    
    -1.77391         21.0082         19.2343    
    -1.18221         22.3995         21.2173    
    -2.63636         20.0657         17.4293    
    -2.39235         20.8411         18.4488    
    -1.22379         21.6094         20.3856    
    -1.64507         21.6590         20.0139    
    -1.86566         20.9079         19.0423    
   -0.129136         22.8057         22.6766    
    -2.31251         19.9855         17.6730    
    -2.18290         20.2953         18.1124    
   -0.718272         21.9660         21.2478    
    -1.27323         20.7218         19.4485    
    -1.54173         21.3726         19.8309    
    -2.00280         21.1741         19.1713    
   -0.912902         22.3923         21.4794    
    -1.81867         20.9593         19.1406    
   -0.879046         21.9862         21.1071    
    -1.84945         20.9589         19.1094    
    -2.18853         20.5551         18.3665    
   -0.338120         22.4496         22.1115    
    -1.73287         21.0531         19.3202    
    -2.96676         19.7046         16.7378    
    -1.69175         21.0980         19.4062    
    -3.28293         19.3591         16.0761    
    -1.37524         21.4439         20.0687    
   -0.858861         22.0082         21.1494    
   -0.890556         22.3794         21.4888    
   -0.488998         22.4124         21.9234    
    -1.87132         20.9167         19.0454    
    -1.61690         22.3946         20.7777    
    -1.19340         21.7144         20.5210    
   -0.919028         21.9425         21.0234    
    -1.62766         21.1680         19.5404    
    -1.79330         20.4656         18.6723    
    -1.74360         21.2515         19.5079    
   -0.999367         21.8547         20.8553    
    -1.57340         20.9534         19.3800    
   -0.471285         20.7721         20.3008    
    -1.12531         21.7656         20.6403    
    -1.81332         20.5637         18.7504    
    -2.54097         20.5651         18.0241    
    -1.31004         20.9882         19.6781    
   -0.667767         21.2128         20.5450    
    -1.03616         22.1654         21.1293    
   -0.979232         22.3666         21.3873    
   -0.658101         21.6616         21.0035    
   -0.321147         21.9913         21.6701    
   -0.592971         22.5842         21.9912    
    -1.68363         21.5872         19.9036    
    -2.11250         20.9701         18.8576    
    -1.95906         21.3880         19.4290    
    -1.15908         21.7477         20.5886    
    -1.28982         21.4106         20.1208    
    -1.83720         21.1373         19.3001    
   -0.988003         21.7554         20.7674    
    -1.49718         21.3182         19.8210    
    0.281478         21.8218         22.1033    
    -3.27021         20.4652         17.1950    
    -2.61333         19.6610         17.0477    
    -1.22689         21.9546         20.7277    
    -2.31521         21.9372         19.6220    
    -1.49536         21.1057         19.6103    
    -1.65096         20.8256         19.1747    
    -1.92404         20.7780         18.8540    
   -0.476288         22.8260         22.3497    
    -1.73822         21.6564         19.9181    
    -2.12252         21.2348         19.1122    
    -1.14968         21.6633         20.5136    
    -1.58924         21.4986         19.9094    
    -2.26364         22.2147         19.9511    
    -1.24186         21.8789         20.6370    
   -0.780966E-01     21.7834         21.7053    
    -2.21768         20.5894         18.3718    
   -0.690058         22.0726         21.3825    
   -0.154259         23.0538         22.8995    
    -1.32715         22.2321         20.9050    
   -0.382144         22.1126         21.7304    
    -1.61528         20.9870         19.3718    
   -0.539495         21.8798         21.3404    
    -1.76404         21.2107         19.4467    
    -2.02192         20.7478         18.7259    
    -2.61640         20.1559         17.5395    
    -2.08342         20.5764         18.4929    
    -2.01606         20.9145         18.8984    
    0.172394         22.5326         22.7050    
    -2.26252         21.3968         19.1343    
    -1.97708         20.7618         18.7847    
   -0.818496         21.0914         20.2729    
   -0.810992         21.4397         20.6287    
   -0.716055         20.8505         20.1345    
   -0.742521         21.3989         20.6564    
    -1.03968         21.7179         20.6782    
    -1.43983         21.4993         20.0594    
    -1.97105         21.5928         19.6218    
    -1.45237         21.3296         19.8772    
    -1.97708         20.4232         18.4461    
    -1.52814         20.6787         19.1505    
    -1.27555         21.1116         19.8360    
    -1.52915         20.8447         19.3156    
    -2.17251         20.3267         18.1542    
    -1.68113         21.0610         19.3799    
   -0.577427         22.5733         21.9959    
   -0.263642         22.8672         22.6036    
   -0.730064         21.1894         20.4593    
    -1.90896         21.2064         19.2975    
    -1.71988         21.0200         19.3002    
    -1.33133         22.2526         20.9213    
    -1.92430         21.4028         19.4785    
    -1.46670         21.6529         20.1862    
    -1.65094         20.7521         19.1012    
    -2.14526         20.2089         18.0637    
   -0.743609         21.7292         20.9856    
   -0.963468         21.8663         20.9028    
    -1.86059         21.1561         19.2955    
    -2.44521         20.7610         18.3158    
    -2.80544         20.6199         17.8144    
    -1.79583         21.1790         19.3832    
   -0.898727         21.5203         20.6216    
   -0.914406         21.0887         20.1743    
   -0.978903         21.3489         20.3700    
    -3.17448         20.1492         16.9747    
   -0.454525         21.9454         21.4909    
    -2.14815         21.0199         18.8718    
    -1.57936         21.3307         19.7514    
   -0.167052         21.3000         21.1329    
    -2.35231         20.0517         17.6994    
    -2.11523         20.1006         17.9854    
    -1.21053         20.7895         19.5789    
    -1.69622         20.6845         18.9883    
    -1.42906         21.0204         19.5913    
    -1.07240         23.0142         21.9418    
    -2.29184         22.8692         20.5774    
    -2.37242         21.7651         19.3927    
    -3.29814         20.8855         17.5874    
   -0.658044         22.5470         21.8889    
    -1.74664         21.1531         19.4065    
    -2.06723         20.7381         18.6709    
    -1.80652         21.4157         19.6092    
    -2.22000         21.8888         19.6688    
   -0.372444         21.7197         21.3473    
    -2.52235         21.0288         18.5065    
    -1.44820         21.1319         19.6837    
    -2.83971         20.3240         17.4843    
    -1.34428         22.0693         20.7250    
    -1.09559         22.0283         20.9327    
    -1.56325         21.5572         19.9940    
