    Residual          Y-hat        Observation
   -0.285546         19.6532         19.3676    
   -0.259826E-01     19.5511         19.5251    
   -0.205538         19.5206         19.3151    
    0.397116E-01     19.4414         19.4811    
    0.874850E-01     20.2410         20.3285    
     1.09675         20.5650         21.6617    
    0.631437         20.7285         21.3599    
    0.665619         20.0427         20.7083    
   -0.219203         19.2560         19.0368    
   -0.618739         18.5264         17.9077    
    0.564825E-02     18.8686         18.8743    
   -0.450319         18.5279         18.0776    
   -0.224067         18.4424         18.2183    
    0.788481         19.5466         20.3351    
    0.273714         19.0527         19.3265    
     1.11968         20.9269         22.0466    
    0.651998         19.9668         20.6188    
    0.931271         21.7000         22.6313    
    -1.29054         19.6060         18.3155    
    0.207999         18.3213         18.5293    
   -0.297850         18.8749         18.5771    
    0.285738         18.8644         19.1502    
    0.660370         19.3316         19.9920    
   -0.511041         17.7758         17.2648    
   -0.849579         18.3571         17.5075    
   -0.932694         18.6669         17.7343    
    0.267590         20.3215         20.5891    
    0.348897         20.3340         20.6829    
    -1.70142         18.0799         16.3784    
    0.164621         20.6233         20.7879    
    0.935558         21.1684         22.1039    
    0.447990         19.9024         20.3504    
   -0.169542         19.5640         19.3945    
    -1.46683         19.8692         18.4023    
   -0.508397         19.6017         19.0933    
    -1.15504         20.0411         18.8861    
   -0.616601         19.4076         18.7910    
    0.903926         20.1054         21.0093    
   -0.554925         19.8828         19.3278    
    0.106912         20.0723         20.1792    
    0.285004         20.8662         21.1513    
    0.188929         20.2540         20.4430    
    -1.15582         19.9678         18.8120    
    0.450635         20.3975         20.8481    
   -0.582357         18.5789         17.9965    
    0.107414         19.6126         19.7200    
   -0.236244         19.2326         18.9964    
    0.826691         20.3414         21.1681    
   -0.590309         19.2202         18.6299    
     1.42308         20.0792         21.5023    
    0.749736         19.7676         20.5173    
   -0.493598         19.4985         19.0049    
   -0.814812         18.3151         17.5003    
    -1.22272         18.0915         16.8688    
    -1.31888         18.3554         17.0366    
   -0.438423         18.4743         18.0359    
    0.186916         19.7871         19.9740    
    0.272021         19.9845         20.2565    
    0.458402         20.0866         20.5450    
   -0.272337         20.0768         19.8045    
    0.355771         20.7994         21.1552    
    0.911124         19.2794         20.1905    
    0.191081         20.4466         20.6377    
   -0.252616         20.2034         19.9508    
   -0.532671E-01     19.9495         19.8962    
   -0.198386         19.8606         19.6622    
    0.723905         21.1256         21.8495    
   -0.964648         19.8055         18.8408    
   -0.164059E-01     19.7157         19.6993    
   -0.822350         18.9070         18.0847    
     1.08406         20.4375         21.5216    
   -0.638129         19.2844         18.6463    
    0.356193         19.6036         19.9597    
   -0.730137         19.8702         19.1401    
   -0.789889         20.0375         19.2476    
   -0.382568         20.0607         19.6781    
    0.208537         20.4099         20.6184    
   -0.488745         21.1022         20.6135    
    0.160544         20.4985         20.6591    
    0.679073         20.8583         21.5374    
   -0.192575         21.0552         20.8626    
    -1.03047         18.9319         17.9014    
    0.431346         19.6647         20.0960    
     1.10583         20.1848         21.2906    
   -0.448400         18.8580         18.4096    
    0.570991         19.7088         20.2798    
    -1.00837         19.7526         18.7442    
   -0.350950E-01     19.8356         19.8005    
   -0.680262         19.3904         18.7101    
   -0.404972         19.5412         19.1363    
    0.936399         19.8763         20.8127    
    -1.19980         17.6910         16.4912    
    0.105578         18.4064         18.5120    
   -0.989072         18.5406         17.5515    
   -0.484835         19.0220         18.5372    
     1.51403         18.5262         20.0403    
   -0.537251         18.4237         17.8865    
     1.45832         20.4587         21.9170    
   -0.786103         19.7681         18.9820    
    -1.10900         19.2143         18.1053    
    0.355293E-01     23.0032         23.0387    
   -0.447799E-01     24.0516         24.0068    
    0.143339         23.8381         23.9814    
   -0.773964         22.1159         21.3420    
     1.38387         24.3174         25.7013    
    0.600005         23.6219         24.2219    
    0.339072         23.3359         23.6750    
   -0.271227         22.4902         22.2190    
     1.27688         24.0696         25.3465    
     1.20648         24.2866         25.4931    
    0.768059         23.8909         24.6589    
    0.397486         22.7586         23.1561    
    0.355003         23.4524         23.8074    
   -0.138635         22.7846         22.6460    
    0.756284         23.7932         24.5495    
   -0.515385E-01     22.8912         22.8397    
    0.726715         23.7608         24.4875    
    0.865194E-01     21.8659         21.9524    
   -0.586036E-01     23.2835         23.2249    
    0.320746         23.2604         23.5811    
   -0.278132         22.6594         22.3813    
